Agency,City,State,Population,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 
Detroit Police Dept,DETROIT,MI,673104,0.038484395,0.040524198,0.041268511,0.038337315,0.041222456,0.041222456,0.041987568,0.039291105,0,0.040812415,0.035672051,0.034525125,0.032648744,0.036290083,0.032648744,0.032850793,0.031120005,0.029623951,0.027817395,0.02364122,0.031564216,0.031779636,0.029252537,0.02671504,0.026881433,0.025216014,0.022648803,0.02230116,0.021543476,0.020237586
Memphis Police Dept,MEMPHIS,TN,652236,0.014930179,0.016063204,0.013542644,0.013666832,0.013924408,0.013924408,0.013519646,0.014970042,0.015505124,0.015109562,0.016924855,0.019218504,0.018146806,0.013886078,0.013188478,0.01474313,0.016676479,0.01596968,0.015810228,0.01547446,0.019374889,0.020785421,0.020031093,0.019837911,0.018508638,0.015946682,0.015847025,0.017642387,0.016696411,0.017509
St. Louis Police Dept,ST LOUIS,MO,308626,0.028001529,0.032042018,0.03168236,0.033960198,0.044331975,0.044331975,0.045608601,0.042922502,0.048596035,0.047449016,0.040346568,0.033059431,0.031076449,0.028669004,0.024660916,0.025713971,0.024832645,0.024298018,0.024055005,0.022541847,0.026967916,0.027881643,0.024800244,0.023922158,0.023824953,0.020105241,0.019278998,0.018342589,0.016450331,0.017328417
Oakland Police Dept,OAKLAND,CA,425195,0.015764532,0.016427757,0.015251826,0.014226414,0.013746634,0.013746634,0.02230506,0.023847882,0.023069415,0.019591011,0,0.01921001,0.019353473,0.01648185,0.013532614,0.011848681,0.012535425,0.013313891,0.013201002,0.012114442,0.013386799,0.0178718,0.017885911,0.01859147,0.015976199,0.01473912,0.015644587,0.018727878,0.018777267,0.016251367
Milwaukee Police Dept,MILWAUKEE,WI,595351,0.006812788,0.010304845,0.010091526,0.008460555,0.010551759,0.010551759,0.010461056,0.010635743,0.010101604,0.011022069,0.011316014,0.010034417,0.011116131,0.009901722,0.010180549,0.00959266,0.009176099,0.009711918,0.008885515,0.007788683,0.01012344,0.013104874,0.013533193,0.012436361,0.011188358,0.010642461,0.010026018,0.013032648,0.013763309,0.01497268
Little Rock Police Dept,LITTLE ROCK,AR,198606,0.013202018,0.015110319,0.01465716,0.01570446,0.018181727,0.018181727,0.026640686,0.026680966,0.029641602,0.026947826,0.018624815,0.013881756,0.011897929,0.010457892,0.00928975,0.009501224,0.009430732,0.012139613,0.0143903,0.015346968,0.016580567,0.016736654,0.015039828,0.011847578,0.014098265,0.014828354,0.01462695,0.012985509,0.014047914,0.014022738
Baltimore City Police Dept,BALTIMORE,MD,611648,0.025338103,0.024898308,0.023371285,0.024067764,0.029333865,0.029333865,0.031115936,0.03563978,0.035878479,0.034253361,0.035137857,0.031895796,0.028473893,0.02619971,0,0.026163741,0.024195289,0.022544012,0.018283392,0.019074697,0.018389662,0.017683373,0.01664683,0.016480067,0.015799937,0.015230983,0.014527964,0.014369376,0.014264741,0.013645103
Cleveland,CLEVELAND,OH,385525,0.017067635,0.018455353,0.018063679,0.019020816,0.023837624,0.023837624,0.024229298,0.022130861,0.021555022,0.020086894,0.021140004,0.019793788,0.018789962,0.016810842,0.01569548,0.015669542,0.016662992,0.01650736,0.016081966,0.01558135,0.016670774,0.018234875,0.016756371,0.015962648,0.01554763,0.014341482,0.014074314,0.014133973,0.01499773,0.01350107
Stockton Police Dept,STOCKTON,CA,310496,0.00502744,0.006560471,0.00586481,0.006602339,0.008460656,0.008460656,0.008930872,0.010789189,0.011272287,0.011610456,0.010264222,0.010032335,0.008669999,0.008718309,0.009043595,0.009571782,0.010615274,0.011893873,0.011674869,0.011916418,0.013533186,0.013810162,0.013578275,0.013919664,0.01192608,0.012988895,0.013381815,0.014911625,0.011665207,0.012843966
Rockford Police Dept,ROCKFORD,IL,147051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012648673,0.014423567,0.0150424,0.01410395,0.015525226,0.014321562,0.014165154,0.014124351,0.012669074
Indianapolis Police Dept,INDIANAPOLIS,IN,872680,0.005296329,0.004935371,0.005205803,0.006457121,0.007132053,0.007132053,0.008103772,0.007808131,0.007209974,0.007410506,0.006539625,0.008500252,0.008997571,0.009882202,0.008839437,0.007841362,0.008511711,0.008614842,0.008098043,0.008098043,0.009107577,0.00881079,0.011276757,0.011155292,0.011182793,0.011053307,0.010507861,0.011392492,0.012007838,0.012339002
Kansas City Police Dept,KANSAS CITY,MO,488943,0.016386368,0.019783492,0.017226957,0.017008118,0.022675445,0.022675445,0.025387417,0.025757604,0.022417746,0.021869625,0.019908251,0.018171852,0.01752556,0.017102198,0.015883242,0.014686784,0.014482261,0.012381811,0.012580199,0.013189677,0.013367611,0.013234672,0.017139012,0.012821535,0.012891073,0.011541223,0.011322383,0.011989128,0.012017761,0.012050484
Springfield Police Dept,SPRINGFIELD,MO,167376,0.001828219,0.002252414,0.002622837,0.00307093,0.003411481,0.003411481,0.003793853,0.003877497,0.003996989,0.004851353,0.00495292,0.004749785,0.00432559,0.004397285,0.003297964,0.00503059,0.005908852,0.006339021,0.006201606,0.005108259,0.005329318,0.005980547,0.006279275,0.006380843,0.007151563,0.007934232,0.007802791,0.009535417,0.01131584,0.011716136
Hartford Police Dept,HARTFORD,CT,123400,0.022098865,0.024059968,0.023995138,0.02410859,0.03328201,0.03328201,0.02897893,0.025178282,0.023030794,0.025623987,0.021061588,0.017277147,0.01315235,0.013379254,0.012034036,0.012074554,0.012909238,0.012536467,0.014675851,0.012269044,0.011685575,0.012398703,0.01143436,0.012179903,0.012990276,0.013160454,0.01328201,0.013411669,0.011936791,0.011183144
Lansing City Police Dept,LANSING,MI,116986,0.009095105,0.012830595,0.014394885,0.013693946,0.016019011,0.016019011,0.015112919,0.015232592,0,0.013787975,0.014044416,0.014095704,0.012232233,0.011531294,0.010155061,0.01042005,0.011565486,0.011044057,0.010428598,0.010137965,0.012035628,0.010565367,0.010736327,0.010479886,0.01029183,0.010599559,0.009992649,0.009214778,0.010283282,0.010890192
Nashville-Davidson Metro Police Dept,NASHVILLE,TN,691243,0.004883955,0.006102051,0.007599354,0.00765288,0.009961765,0.009961765,0.011557441,0.012125982,0.013257277,0.013562524,0.013563971,0.014497073,0.013441004,0.012369022,0.012159255,0.012988197,0.01309959,0.012562876,0.012053648,0.012463056,0.01298241,0.012390722,0.012315495,0.012101388,0.010067371,0.009840244,0.010472439,0.010922353,0.009644944,0.010544772
San Bernardino Police Dept,SAN BERNADINO,CA,216995,0.010359686,0.010788267,0.011175373,0.01210627,0,0,0,0.026710293,0.025650361,0.018797668,0.0181018,0.014898961,0.013290629,0.010954169,0.00930897,0.009696076,0.011046337,0.011447268,0.013198461,0.012143137,0.011567087,0.009295145,0.009908062,0.009557824,0.008792829,0.007484043,0.008576234,0.009318187,0.008981774,0.009806678
